molecule_class,mw,logp,tpsa,n_atoms,hba,hbd,arom_rings,rings,homo,lumo,gap,zpve,alpha,mu
halide,75.37988783157874,2.9286649728699006,5.063734506227273,2,0,0,0,2,-8.080241693082739,-1.5356664978984245,6.544575195184314,0.002260427662253463,1.9051890793042217,0.3846874054938459
halide,98.11485407835097,3.4457971129159404,4.392593008750988,6,0,0,0,0,-8.508044303966408,-1.5681683894976355,6.939875914468772,0.005687555939624364,5.2474717710859995,0.9609306108114956
alkane,45.51178870366451,3.173767582062217,-5.651063535569466,5,0,0,0,2,-9.40548820897289,-1.3343015646992231,8.071186644273668,0.004917944008409583,3.6053243488882725,0.24806636937273796
alcohol,36.33642077458454,1.2295444535530908,32.31235190528129,5,1,1,0,1,-8.598498327680955,-1.106558921777033,7.491939405903922,0.0047655531222526555,4.808339927667086,2.0757911254910715
acid,69.17278935351226,1.320137864415452,59.62536518759609,7,2,1,0,2,-8.629540542066826,-1.5119205444719421,7.1176199975948835,0.0067739197798791706,5.164276949612487,2.4428945443827628
alkene,76.9862678109888,0.5406879566636809,2.0716167527125324,2,0,0,0,2,-9.115611407398836,-0.9925979797024783,8.123013427696357,0.0022876749954195193,1.7490177565773783,0.7034231387882404
aromatic,100.31250105806546,3.2282167076306907,-1.1229336034028474,6,0,0,1,3,-8.197671615424545,-0.884834542464145,7.3128370729603995,0.005875234197933789,5.177168199820413,0.9346229267343317
ester,90.9540584680583,2.323376112380349,41.53148454148588,6,2,0,0,1,-8.948751978693052,-0.9641324408571323,7.984619537835919,0.005624607809043767,3.647278784098675,1.1731774865768136
alcohol,55.78750778966553,-1.3200329590507471,30.610649301811826,3,1,1,0,2,-9.332667564754843,-1.0100789884238215,8.322588576331022,0.003198649863781264,3.573921574588896,1.5954268648341308
alcohol,75.57647966246469,1.5122064048864554,30.91581935728671,5,1,1,0,0,-8.673499420286067,-1.2203507484706035,7.453148671815463,0.004584207991910148,3.081672162030727,1.3739337448241573
alkene,76.16952875555336,1.220106978743673,0.03346901302580883,3,0,0,0,1,-9.262445478883322,-1.0814635579343888,8.180981920948934,0.003081737604492655,2.677661970824883,0.0
alcohol,36.81501160621293,-0.8829802224225445,39.12078161261093,2,1,1,0,0,-9.574989710204672,-0.2013934560183992,9.373596254186273,0.0018681613158580321,1.577631329461172,1.6334669569013334
halide,99.84044576621517,3.937690642764924,-4.685780744105076,2,0,0,0,0,-8.31643866335912,-1.7901460945771246,6.5262925687819955,0.001879551618033146,2.674259007688564,0.23621571914239425
aniline,113.260657860879,1.1319107591504398,53.06473586740114,9,1,2,1,3,-9.031500911919839,-0.4891863941680673,8.542314517751771,0.008789614776423817,6.919293728670992,0.6441332675357649
alcohol,33.3423399095655,0.32160105318529686,39.761654253174974,4,1,1,0,1,-9.635696774342565,-0.9375215066423264,8.698175267700238,0.0037555619487123024,3.989172779873835,1.4300863640561219
alkyne,51.059565614703054,1.1728565682119831,0.7765450637900199,5,0,0,0,1,-9.801160204888474,-0.9428541739069909,8.858306030981483,0.004741639700887422,4.162138198018569,0.0
thiol,96.769036991782,0.7109913736028421,13.201333843128316,3,0,1,0,1,-8.668292683692908,-1.2656658820809166,7.402626801611991,0.0032002629360143022,2.5073126089724185,0.28654448432982177
amine,76.47133928459051,-0.07350901283161926,50.55969724815645,6,1,2,0,2,-9.215936487256043,-1.2440449635872748,7.971891523668768,0.00593505530223143,4.2782944803686025,1.2331531570713554
phenol,107.53712223773553,1.9600454575264619,36.71586156450879,7,1,1,1,1,-9.062150163997208,-0.3150649855965696,8.747085178400638,0.00653011237846151,4.832971103102722,1.0438348467348473
amine,46.65963442974169,-0.8878474371763798,44.638575167915185,5,1,2,0,1,-9.132575236857045,-1.239435905460555,7.89313933139649,0.004704318289557156,4.482591110369604,1.9055637380252701
thiol,77.81701347282267,2.50137431150688,15.857364301481235,5,0,1,0,0,-8.271398269780214,-2.022647029427462,6.248751240352751,0.004520270421102893,2.965985777911901,0.7770069585074939
ester,83.05208174571251,1.2804501815169906,37.52273070150721,5,2,0,0,0,-8.725809835814985,-1.2940942146706829,7.431715621144303,0.004961469718656706,2.535640344886704,1.3383795225459942
aromatic,111.57017620865159,2.010249312115268,-3.94496044206639,7,0,0,1,2,-8.962795854520817,-0.5562625798572594,8.406533274663557,0.006885052369734184,5.3881675311423205,0.0
halide,93.36663358326005,1.0410359328210335,2.1577540825465915,2,0,0,0,2,-9.027443536824999,-0.8394716179541191,8.187971918870879,0.0021846139365604787,2.8287868679409085,0.0
aromatic,127.54362390011022,1.5242818018440871,-0.7197603515332244,7,0,0,1,2,-8.7636015701432,-0.8874533301283682,7.876148240014832,0.0067750210074114725,4.4421211169583845,0.0
alkyne,44.19358547023735,2.286324644527368,-5.46863880199381,2,0,0,0,0,-8.769374273551001,-1.2294634181944475,7.539910855356554,0.0019361693492930278,1.874481756121047,0.14922865623214654
ester,84.80318753436181,2.1450807759602823,45.40396375511388,5,2,0,0,1,-8.450926869552617,-1.569186630343955,6.881740239208662,0.004908408916379728,3.29112322149194,1.5650739673935667
halide,98.5204665898439,2.206985871771776,2.026423638717823,5,0,0,0,1,-8.424726842242968,-0.8032318361858779,7.62149500605709,0.004669617519544252,3.1962068957641208,0.0
alcohol,70.26246802889352,-0.7011149358780281,38.069268961844905,5,1,1,0,0,-9.691972843403647,-1.0966867400022131,8.595286103401435,0.004611953429180677,2.464101764028991,1.553763696030996
amine,60.78213592356432,0.101035491625449,50.780415892571554,2,1,2,0,2,-8.80741050164579,-0.7651590975944349,8.042251404051356,0.0023046909875868602,1.7640517862534701,2.1124749129701175
alkyne,27.74066765640052,1.5321052180350685,-0.7625498783678392,5,0,0,0,2,-9.290244808175613,-0.590081965526541,8.700162842649071,0.005216029027192402,3.9243353590062426,0.0
aromatic,112.86368309149645,3.413943169261559,2.6742213730269433,6,0,0,1,2,-8.187657939206606,-0.8317128255081186,7.355945113698487,0.006190211399617384,4.356566721368698,0.0
amine,50.72389963964696,1.489932716984098,41.96842779678132,3,1,2,0,0,-8.677644065205328,-1.3933293929178765,7.284314672287452,0.0027499087544778787,3.1573232144077688,1.8979073345762938
ester,60.58229368456787,2.0192387735461574,41.40967751604016,5,2,0,0,2,-9.160193483171618,-0.8993058580995634,8.260887625072055,0.004980815764955942,3.9454003687705517,1.3750552152703936
thiol,105.98481320185809,0.6994642567233406,12.14549649261642,2,0,1,0,0,-8.340643990283775,-1.0376321342934325,7.303011855990342,0.0019498792475164404,1.5660805145402374,1.3852172742442164
alkene,50.89544505457749,0.944179404969865,0.089628963956348,6,0,0,0,0,-8.916850304830959,-0.9212682139770516,7.995582090853907,0.0054710879541511395,3.3219231077852602,0.37283114221121993
ether,51.83050581744558,0.6532222520091786,20.256295355681495,5,1,0,0,0,-9.85696450550178,-1.6872410852760278,8.169723420225752,0.0047078353425270714,2.8122182749369786,0.6754377597270574
aniline,106.86841725880358,1.0591930652632566,47.394815494559424,8,1,2,1,1,-8.945904639463274,-0.17981782079718048,8.766086818666093,0.007430770814484475,4.537737359165336,1.223007962626295
ether,70.22389292796838,2.6054566439308178,17.120957340197386,5,1,0,0,0,-9.011625255731584,-1.8185915854220853,7.193033670309498,0.0045767509059063734,2.6231936641805307,1.332694321858277
phenol,119.99068214714063,1.7500673855484337,32.50558996148256,7,1,1,1,1,-9.066844358069268,-0.8887001322730346,8.178144225796233,0.006766443731291639,4.8822536921920525,1.4819123139400925
alkane,85.94807436750584,2.1627389444261476,3.040532341503415,1,0,0,0,1,-8.405558613645638,-1.1475626605062166,7.257995953139422,0.0012261683157174705,1.0275725552146044,0.12503563159367173
heterocy,87.83836443242241,0.7357509415139198,16.100870364605388,6,1,0,1,1,-9.714070922833688,-0.3246949881663077,9.389375934667381,0.0056967560977667624,4.762610755890937,1.459836179527798
thiol,89.60003207370772,2.943580565963211,14.436152554037932,4,0,1,0,0,-8.25296790792007,-2.4058235028346715,5.847144405085398,0.0036308083075378863,2.1205970552330693,1.0452878032640598
phenol,96.7528645515242,1.0773237292761602,35.79695216499696,8,1,1,1,3,-8.39476011009783,-0.2212518643689283,8.1735082457289,0.007722516443484312,4.894546170920353,1.3949848162795566
ester,74.59188171982665,0.8951257277971152,44.46842324582413,7,2,0,0,2,-8.702918278069157,-1.2648249457856149,7.438093332283542,0.006659644027512618,4.992614702494022,1.5489099116907845
nitrile,55.17711764504584,2.0571866421423377,23.106262206846303,6,1,0,0,1,-8.910020443295158,-0.8341112525433856,8.075909190751773,0.005683408562289838,4.143685902293814,0.7560405184297793
amine,71.58974204582489,1.0979938300297736,42.68641875423399,6,1,2,0,2,-8.425753787924696,-0.4008777678596891,8.024876020065008,0.0060563322358675765,5.368692937489168,1.988421627251098
aniline,118.62776175474616,1.3155226508513378,56.76926062447125,9,1,2,1,1,-9.103415363764467,-0.649329328082169,8.454086035682298,0.008282598559729883,5.125232124393462,1.6323960254618637
